date,NVDA,AAPL,MSFT,AVGO,CRM,ORCL,CSCO,NOW,ACN,IBM,AMD,ADBE,QCOM,TXN,INTU,AMAT,PLTR,UBER,ANET,PANW,MU,ADP,FI,ADI,LRCX,KLAC,INTC,APH,CDNS,CRWD,SNPS,MSI,ADSK,FTNT,ROP,NXPI,WDAY,TEL,PAYX,FICO,FIS,GLW,IT,CTSH,DELL,MPWR,GRMN,HPQ,HPE,MCHP,Benchmark
2010-12-31,0.385,11.52,27.91,2.84,33.0,31.3,20.23,,48.49,140.18,8.18,30.78,49.49,32.5,49.3,14.05,,,,,8.02,40.6,14.64,37.67,5.18,38.64,21.03,6.6,8.26,,26.91,36.28,38.2,3.24,76.43,20.93,,35.4,30.91,23.37,27.39,19.32,33.2,36.64,,16.52,30.99,19.11,,17.11,125.75
2011-01-03,0.3955,11.77,27.98,2.78,34.15,31.62,20.49,,48.59,140.87,8.47,31.29,50.18,32.73,49.83,14.06,,,,,8.28,41.28,14.88,37.95,4.99,38.75,20.85,6.68,8.35,,26.99,36.44,39.27,3.31,77.06,21.43,,36.24,31.39,23.56,28.13,19.19,33.53,37.68,,16.89,31.21,19.4,,17.39,127.05
2011-01-04,0.3942,11.83,28.09,2.8,33.92,31.48,20.52,,48.27,141.02,8.77,31.51,50.97,32.67,49.29,13.97,,,,,8.44,41.13,14.61,37.52,4.94,38.48,21.15,6.54,8.32,,26.8375,39.77,38.525,3.5,75.94,22.01,,35.5,30.75,23.03,27.95,19.07,33.34,37.08,,15.77,31.07,19.81,,17.36,126.98
2011-01-05,0.4245,11.93,28.0,2.8,35.55,31.04,20.77,,48.28,140.46,8.91,32.22,52.03,32.8,48.74,13.76,,,,,8.54,41.78,14.73,37.6,4.73,37.9,20.94,6.49,8.32,,26.78,39.83,41.24,3.65,76.25,23.38,,35.19,31.54,23.04,28.44,18.98,33.81,38.1,,15.87,31.46,20.07,,17.41,127.64
2011-01-06,0.4832,11.92,28.82,2.85,35.84,31.17,20.95,,48.46,141.99,8.69,32.27,52.67,33.25,48.3,13.89,,,,,8.58,42.11,14.75,37.81,4.73,38.2,20.77,6.46,8.44,,26.68,39.68,41.26,3.64,75.63,23.24,,35.14,31.88,23.12,28.38,19.51,33.91,37.75,,16.11,30.9,20.38,,17.51,127.39
2011-01-07,0.4968,12.0,28.6,2.83,35.56,31.03,20.97,,48.54,141.3,8.83,32.04,51.73,33.22,48.39,13.96,,,,,8.65,42.21,14.86,37.59,4.72,37.69,20.66,6.48,8.42,,26.74,38.9,40.76,3.52,74.87,22.92,,35.23,31.87,22.52,28.49,19.46,34.01,37.55,,16.06,30.53,20.47,,17.49,127.14
2011-01-10,0.5158,12.23,28.22,2.89,35.66,31.04,20.79,,48.11,141.02,9.19,32.96,51.69,33.38,47.75,13.77,,,,,8.55,42.22,14.8,37.7,4.87,38.65,20.69,6.49,8.48,,26.79,38.53,40.865,3.6,75.07,23.42,,35.87,32.0,22.71,28.53,19.5,34.46,37.67,,15.97,30.47,20.37,,17.69,126.98
2011-01-11,0.5078,12.2,28.11,2.92,35.28,30.99,20.88,,48.77,140.68,8.36,32.98,52.07,33.5,47.05,14.08,,,,,8.72,42.42,15.05,38.03,4.95,38.56,21.05,6.55,8.46,,26.55,38.38,40.8,3.61,75.58,24.0,,35.86,31.98,22.72,28.68,19.48,34.82,37.75,,15.96,30.77,20.63,,17.81,127.43
2011-01-12,0.5838,12.3,28.55,2.82,35.41,30.95,21.12,,49.89,142.41,8.39,33.5725,52.34,33.66,46.58,14.26,,,,,9.34,42.97,15.21,38.04,5.02,38.99,21.3,6.6,8.6,,26.65,37.96,40.53,3.66,75.4,23.6,,36.2,32.27,23.08,29.53,19.93,34.9,37.62,,16.03,30.9,20.72,,17.88,128.58
2011-01-13,0.5848,12.35,28.19,2.84,35.96,31.18,21.08,,49.87,142.15,8.26,33.38,51.87,33.48,46.36,14.24,,,,,9.63,42.56,15.19,37.85,5.04,39.75,21.29,6.58,8.58,,26.44,37.85,41.08,3.68,75.25,23.33,,36.33,32.09,23.16,29.64,19.85,34.67,37.3,,15.92,30.76,20.73,,18.0,128.37
2011-01-14,0.5898,12.45,28.3,2.9,36.62,31.25,21.21,,50.0,143.27,8.2,33.79,52.04,34.04,46.98,15.32,,,,,9.71,42.77,15.48,38.6,5.27,42.11,21.08,6.53,8.82,,26.81,38.28,41.44,3.74,75.37,23.39,,36.58,32.31,23.54,30.12,19.81,34.6,37.5,,15.98,30.85,21.0,,18.52,129.3
2011-01-18,0.5759,12.17,28.66,2.78,36.08,31.53,21.22,,50.35,143.9,8.1025,34.18,53.03,34.85,47.35,15.2,,,,,9.66,42.95,15.63,39.86,5.24,42.37,21.08,6.61,9.17,,27.04,37.71,42.03,3.67,75.67,23.58,,36.78,32.6,24.08,30.2,19.84,34.78,37.75,,15.85,31.92,21.04,,18.74,129.52
2011-01-19,0.5602,12.1,28.47,2.78,35.21,31.6,20.82,,50.2,148.71,7.93,33.91,52.14,34.16,47.4,15.23,,,,,9.37,42.73,15.5,39.04,5.06,41.61,21.01,6.61,8.89,,26.72,37.34,41.49,3.56,74.05,22.96,,36.03,32.39,23.53,29.83,19.66,34.36,37.28,,15.58,31.58,21.03,,18.45,128.25
2011-01-20,0.5607,11.88,28.35,2.77,32.95,32.3,20.77,,51.14,148.81,8.02,33.49,51.33,33.91,47.18,15.06,,,,,9.6,43.07,15.48,38.93,5.02,42.13,20.95,6.55,8.56,,26.35,37.04,41.31,3.5,73.56,21.67,,36.02,32.43,23.55,29.92,19.38,34.21,36.81,,15.31,31.04,21.24,,18.2,128.08
2011-01-21,0.5555,11.67,28.02,2.78,33.06,32.51,20.73,,51.04,148.53,7.54,33.27,51.24,33.91,46.86,15.01,,,,,9.84,43.02,15.5,38.77,5.0,41.83,20.82,6.66,8.51,,26.23,37.15,41.5,3.51,73.92,21.97,,36.45,32.6,23.31,30.01,19.33,34.32,36.53,,15.1,30.79,21.44,,18.24,128.37
2011-01-24,0.6182,12.05,28.38,2.81,31.96,32.4,21.17,,51.47,152.47,7.68,34.03,51.49,34.65,47.12,15.37,,,,,10.05,43.44,15.73,39.35,5.22,43.11,21.24,6.84,8.53,,26.75,38.66,41.05,3.45,74.76,22.65,,37.14,33.13,23.65,30.61,19.64,34.49,37.14,,15.29,31.52,21.59,,18.59,129.1
2011-01-25,0.5992,12.19,28.45,2.8,30.99,32.29,21.54,,51.72,154.2,7.48,33.56,51.52,33.98,46.5,15.37,,,,,9.98,43.59,15.72,38.78,5.27,43.67,21.55,6.89,8.4975,,26.75,38.7,40.33,3.39,74.93,24.28,,37.06,33.02,24.02,30.68,21.21,34.29,36.68,,15.01,31.72,21.37,,18.66,129.17
2011-01-26,0.6135,12.28,28.78,2.83,32.07,32.56,21.42,,52.35,153.82,7.491,33.52,51.86,34.32,47.12,15.46,,,,,9.95,42.52,15.72,38.89,5.41,44.53,21.75,6.92,8.56,,26.88,39.24,40.88,3.97,75.99,25.99,,37.05,32.81,24.77,30.79,21.78,35.13,36.61,,15.08,31.54,21.28,,18.71,129.67
2011-01-27,0.6118,12.26,28.87,2.92,32.06,32.92,21.44,,52.36,153.85,7.75,33.85,54.9,34.63,47.31,16.1,,,,,10.59,42.69,15.72,39.18,5.18,44.68,21.75,7.1,8.71,,27.48,38.58,40.77,3.78,76.66,26.08,,36.07,32.62,25.99,30.81,22.16,36.23,36.59,,15.01,31.53,21.22,,18.95,129.99
